,idade,renda,situacao_moradia,tempo_trabalhado,motivo_emprestimo,score,valor_emprestimo,taxa_juros,inadimplente,razao_renda_emprestimo,devedor,tempo_historico_credito
0,22,50000.0,Mortgage,0.0,Debtconsolidation,A,12800.0,5.79,0,0.26,N,2
1,26,84996.0,Rent,0.0,Medical,B,9000.0,11.26,0,0.11,N,2
2,24,55782.0,Rent,3.0,Homeimprovement,A,17000.0,7.51,0,0.3,N,2
3,23,44340.0,Own,0.0,Venture,C,3000.0,12.98,0,0.07,Y,3
4,23,48000.0,Mortgage,5.0,Education,C,5000.0,13.99,0,0.1,Y,2
5,29,50000.0,Mortgage,4.0,Medical,B,21850.0,12.42,0,0.44,N,10
6,27,35000.0,Rent,8.0,Personal,B,12000.0,9.91,1,0.34,N,8
7,32,19200.0,Rent,0.0,Venture,B,5000.0,9.99,1,0.26,N,6
8,22,45000.0,Rent,1.0,Venture,E,10000.0,0.0,1,0.22,N,2
9,24,82000.0,Mortgage,8.0,Personal,A,6000.0,6.76,0,0.07,N,3
10,36,39520.0,Own,14.0,Venture,A,5000.0,5.79,0,0.13,N,16
11,30,36000.0,Rent,6.0,Debtconsolidation,C,4500.0,13.49,0,0.12,Y,6
16,33,54000.0,Rent,15.0,Debtconsolidation,B,10000.0,10.99,0,0.19,N,8
17,21,45000.0,Rent,3.0,Personal,A,3200.0,6.54,0,0.07,N,4
18,24,44000.0,Rent,2.0,Personal,A,10000.0,7.49,0,0.23,N,2
19,26,103000.0,Mortgage,0.0,Personal,C,14000.0,13.57,1,0.14,N,4
20,36,45344.0,Mortgage,11.0,Education,A,16750.0,7.88,0,0.37,N,13
21,31,50402.0,Mortgage,4.0,Venture,C,3000.0,13.22,0,0.06,Y,10
22,21,53000.0,Mortgage,5.0,Venture,C,18000.0,13.8,0,0.34,Y,3
23,23,71500.0,Rent,3.0,Debtconsolidation,D,30000.0,0.0,1,0.42,N,4
24,36,24000.0,Mortgage,2.0,Debtconsolidation,A,1500.0,9.63,0,0.06,N,16
25,30,62000.0,Rent,14.0,Medical,B,12000.0,11.71,0,0.19,N,9
26,23,80000.0,Own,7.0,Venture,B,25000.0,9.99,0,0.31,N,3
27,35,39000.0,Rent,8.0,Medical,B,5000.0,9.99,1,0.13,N,6
28,23,65000.0,Mortgage,7.0,Education,A,10500.0,6.03,0,0.16,N,4
29,22,50000.0,Mortgage,6.0,Personal,A,15000.0,7.9,0,0.3,N,3
30,27,61000.0,Mortgage,11.0,Medical,B,1200.0,10.37,0,0.02,N,5
31,24,64000.0,Mortgage,8.0,Education,A,5000.0,7.88,1,0.08,N,4
32,30,50000.0,Mortgage,14.0,Debtconsolidation,A,1875.0,8.0,0,0.04,N,9
33,30,60000.0,Rent,8.0,Medical,A,5000.0,0.0,0,0.08,N,8
36,22,90000.0,Rent,7.0,Venture,A,12000.0,5.79,0,0.13,N,2
37,23,90096.0,Mortgage,0.0,Education,C,10150.0,11.97,0,0.11,N,3
38,35,70360.0,Rent,8.0,Education,A,10000.0,6.62,0,0.14,N,5
40,24,40000.0,Rent,8.0,Medical,C,4500.0,12.84,0,0.11,N,3
41,27,75000.0,Rent,1.0,Homeimprovement,B,20000.0,0.0,0,0.27,N,6
42,35,21340.0,Rent,0.0,Debtconsolidation,B,8000.0,11.14,1,0.37,N,7
43,22,96000.0,Mortgage,3.0,Education,C,11400.0,13.04,0,0.12,Y,2
44,21,40000.0,Rent,3.0,Education,D,7000.0,14.46,0,0.18,N,3
45,31,95000.0,Mortgage,1.0,Debtconsolidation,B,25000.0,10.08,0,0.26,N,6
46,21,41900.0,Rent,2.0,Venture,C,16000.0,12.84,1,0.38,Y,2
47,24,60000.0,Mortgage,8.0,Venture,A,2800.0,9.32,0,0.05,N,4
48,33,25200.0,Rent,3.0,Medical,E,1600.0,16.69,1,0.06,N,6
49,27,16800.0,Rent,3.0,Debtconsolidation,B,6500.0,11.99,1,0.39,N,8
50,28,39000.0,Rent,6.0,Medical,D,10000.0,14.96,1,0.26,N,6
51,23,60000.0,Rent,0.0,Venture,A,8400.0,7.49,0,0.14,N,3
52,35,20000.0,Rent,0.0,Education,D,8500.0,15.05,1,0.42,Y,10
53,33,56312.0,Rent,2.0,Homeimprovement,B,3000.0,11.71,0,0.05,N,9
54,24,85000.0,Mortgage,3.0,Homeimprovement,A,8500.0,0.0,0,0.1,N,2
55,30,43000.0,Rent,1.0,Medical,A,3200.0,8.0,0,0.07,N,5
56,36,46000.0,Mortgage,3.0,Venture,A,8000.0,5.42,0,0.17,N,15
57,24,67000.0,Own,3.0,Venture,C,13000.0,0.0,0,0.19,Y,3
58,26,25000.0,Mortgage,10.0,Medical,A,7000.0,6.99,0,0.28,N,2
60,37,6000.0,Own,3.0,Venture,A,1300.0,6.03,1,0.22,N,11
61,22,41000.0,Rent,2.0,Debtconsolidation,D,3600.0,16.77,1,0.09,Y,3
62,26,60000.0,Mortgage,10.0,Medical,A,12500.0,6.92,0,0.21,N,3
63,32,35000.0,Mortgage,2.0,Personal,C,6075.0,13.49,0,0.17,N,9
65,24,37000.0,Mortgage,8.0,Venture,B,10000.0,10.99,0,0.27,N,4
66,23,24000.0,Own,0.0,Education,A,7000.0,7.14,0,0.29,N,3
67,26,45243.0,Rent,3.0,Venture,B,4800.0,9.25,0,0.11,N,2
68,22,66000.0,Own,6.0,Education,A,5000.0,7.9,0,0.08,N,4
69,23,28000.0,Rent,5.0,Personal,B,6000.0,9.63,0,0.21,N,4
70,35,53500.0,Mortgage,1.0,Venture,C,20000.0,12.53,0,0.37,Y,7
71,31,24000.0,Rent,3.0,Education,A,6000.0,8.49,0,0.25,N,5
72,24,9600.0,Rent,3.0,Education,C,1300.0,12.73,1,0.14,N,2
73,23,29000.0,Rent,0.0,Education,E,10000.0,17.93,1,0.34,Y,3
74,27,36000.0,Rent,2.0,Medical,B,2000.0,11.99,0,0.06,N,8
75,25,55000.0,Mortgage,10.0,Education,C,15000.0,0.0,0,0.27,Y,3
76,38,34296.0,Own,1.0,Medical,C,12000.0,0.0,0,0.35,Y,12
77,21,45192.0,Mortgage,0.0,Personal,B,11700.0,10.74,0,0.26,N,2
78,23,91000.0,Mortgage,0.0,Education,B,1000.0,11.71,0,0.01,N,3
79,31,135000.0,Mortgage,12.0,Education,C,15000.0,13.85,0,0.11,Y,9
81,23,30000.0,Rent,3.0,Personal,A,3600.0,5.99,0,0.12,N,2
82,34,78000.0,Rent,9.0,Debtconsolidation,E,15000.0,16.4,1,0.19,N,5
83,32,44444.44444444444,Rent,0.0,Medical,A,12000.0,14.54,0,0.27,N,2
84,29,30000.0,Rent,3.0,Medical,B,5000.0,11.49,0,0.17,N,9
85,28,39000.0,Rent,6.0,Medical,D,8000.0,14.91,1,0.21,Y,7
86,31,39420.0,Rent,0.0,Medical,C,2500.0,15.27,0,0.06,Y,8
87,30,67000.0,Mortgage,6.0,Homeimprovement,A,10000.0,6.99,0,0.15,N,6
88,58,68000.0,Mortgage,1.0,Personal,B,8000.0,10.99,0,0.12,N,29
89,23,40000.0,Rent,0.0,Venture,A,15000.0,8.94,1,0.38,N,4
90,28,83000.0,Mortgage,6.0,Debtconsolidation,B,5000.0,0.0,0,0.06,N,9
91,21,21700.0,Rent,2.0,Homeimprovement,D,5500.0,14.91,1,0.25,N,2
92,34,54000.0,Mortgage,5.0,Venture,A,10000.0,7.29,0,0.19,N,7
